,stop_id,stop_name,stop_lat,stop_lon,starttime,endtime,route_id,route_type
4734,6665,Cermak & Pulaski,41.85140167,-87.72490565,1917,85917,21,3
4735,15827,Cermak & Springfield,41.85150813,-87.72203256,1920,85920,21,3
4736,6914,Cermak & Hamlin,41.8515304,-87.71996308,15852,81717,21,3
4737,6915,Cermak & Lawndale,41.85156361,-87.71749536,15888,81746,21,3
4738,17187,Cermak & Central Park,41.851588799999995,-87.71478941,15930,81780,21,3
4739,6917,Cermak & St. Louis,41.85164397,-87.71236701,15965,81808,21,3
4740,6918,Cermak & Homan,41.85163636,-87.71024588,16002,81838,21,3
4741,6919,Cermak & Spaulding,41.85165247,-87.70784766,16041,81869,21,3
4742,17189,Cermak & Kedzie,41.85169849,-87.70502605,16087,81906,21,3
4743,6921,Cermak & Albany,41.85180095,-87.7028769,16122,81935,21,3
4744,6924,Cermak & Marshall Boulevard,41.85178507,-87.69876324,16202,82002,21,3
4745,6925,Cermak & California,41.85182937,-87.69560527,16257,82048,21,3
4746,15779,Cermak & Washtenaw,41.85186153,-87.69266045,16314,82095,21,3
4747,15780,Cermak & Rockwell,41.85189646,-87.69018834,16359,82132,21,3
4748,6928,2500 W Cermak,41.85195257,-87.68871391,16382,82152,21,3
4749,6929,Cermak & Western,41.8519569,-87.68583041,16436,82197,21,3
4750,6930,Cermak & Oakley,41.852001,-87.68328000000001,16475,82235,21,3
4751,15307,Cermak & Leavitt,41.85203915,-87.68043725,16521,82281,21,3
4752,6932,Cermak & Hoyne,41.852076000000004,-87.678375,16550,82310,21,3
4753,14069,Cermak & Damen,41.85210813,-87.67557835,16596,82356,21,3
4754,6934,Cermak & Wolcott,41.852151,-87.673503,16624,82384,21,3
4755,6935,Cermak & Wood,41.852188,-87.671054,16662,82422,21,3
4756,6936,Cermak & Paulina,41.852226,-87.668589,16699,82459,21,3
4757,6937,Cermak & Ashland/Blue Island,41.85224414,-87.66648406,16731,82491,21,3
4758,6938,Cermak & Laflin,41.8523065,-87.66378715,16776,82533,21,3
